,Episode,Step,x-coor,y-coor,x-velo,y-velo,angle,angular velocity,left-touch,right-touch,avgVelocity
0,0.0,0.0,0.007866954430937767,1.4032903909683228,0.7968220114707947,-0.33911794424057007,-0.009109048172831535,-0.18049193918704987,0.0,0.0,0.2288520336151123
1,1.0,0.0,0.007531070616096258,1.4177426099777222,0.762784481048584,0.30320119857788086,-0.0087196696549654,-0.17278209328651428,0.0,0.0,0.5329928398132324
2,2.0,0.0,-0.0030701637733727694,1.4200718402862549,-0.3109973073005676,0.4067445397377014,0.0035644262097775936,0.07044560462236404,0.0,0.0,0.047873616218566895
3,2.0,100.0,-0.6281032562255859,0.21759997308254242,-1.1088972091674805,-1.5192948579788208,1.3741726875305176,-0.08074803650379181,0.0,0.0,-1.3140960335731506
4,3.0,0.0,-0.006105518434196711,1.4083819389343262,-0.6184419989585876,-0.11282729357481003,0.0070815905928611755,0.1400863081216812,0.0,0.0,-0.36563464626669884
5,4.0,0.0,0.0014959335094317794,1.405310034751892,0.1515066921710968,-0.24933956563472748,-0.0017266118666157126,-0.03431849926710129,0.0,0.0,-0.04891643673181534
6,5.0,0.0,-0.00037469863309524953,1.4219856262207031,-0.03796183690428734,0.4918021559715271,0.0004409130197018385,0.00859896931797266,0.0,0.0,0.22692015953361988
7,5.0,100.0,-0.11899127811193466,0.4436091184616089,-0.3237451910972595,-0.8358623385429382,0.18311303853988647,0.05107090622186661,0.0,0.0,-0.5798037648200989
8,6.0,0.0,0.007660388946533203,1.4209561347961426,0.7759019136428833,0.44601547718048096,-0.008869719691574574,-0.1757534146308899,0.0,0.0,0.6109586954116821
9,6.0,100.0,0.8148792386054993,0.20585089921951294,0.6042014360427856,-1.578992247581482,1.091448426246643,1.0572221279144287,0.0,0.0,-0.48739540576934814
10,7.0,0.0,0.004230690188705921,1.4089434146881104,0.4285048544406891,-0.0878666490316391,-0.004895494785159826,-0.0970626026391983,0.0,0.0,0.170319102704525
11,7.0,100.0,0.46241313219070435,-0.0008605146431364119,0.4732719361782074,-0.9156306385993958,0.15899021923542023,0.26900795102119446,0.0,0.0,-0.22117935121059418
12,8.0,0.0,0.005792140960693359,1.410778284072876,0.5866638422012329,-0.006311836652457714,-0.0067048510536551476,-0.13288824260234833,0.0,0.0,0.2901760027743876
